index,Company,TypeName,Inches,screen_type,touchscreen,resolution_width,resolution_height,cpu_brand,cpu_name,cpu_speed,Ram,memory_type,primary_storage,secondary_storage,gpu_brand,gpu_name,OpSys,Weight,Price
0,Apple,Ultrabook,13.3,"ips display",0,2560,1600,Intel,"Core i5",2.30,8,SSD,128,0,Intel," Iris Plus Graphics 640",macos,1.37,71379
1,Apple,Ultrabook,13.3,N/A,0,1440,900,Intel,"Core i5",1.80,8,"Flash Storage",128,0,Intel," HD Graphics 6000",macos,1.34,47896
2,HP,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,8,SSD,256,0,Intel," HD Graphics 620",N/A,1.86,30636
3,Apple,Ultrabook,15.4,"ips display",0,2880,1800,Intel,"Core i7",2.70,16,SSD,512,0,AMD," Radeon Pro 455",macos,1.83,135195
4,Apple,Ultrabook,13.3,"ips display",0,2560,1600,Intel,"Core i5",3.10,8,SSD,256,0,Intel," Iris Plus Graphics 650",macos,1.37,96096
5,Acer,Notebook,15.6,N/A,0,1366,768,AMD,"A9-Series 9420",3.00,4,HDD,500,0,AMD," Radeon R5",windows,2.10,21312
6,Apple,Ultrabook,15.4,"ips display",0,2880,1800,Intel,"Core i7",2.20,16,"Flash Storage",256,0,Intel," Iris Pro Graphics",macos,2.04,114018
7,Apple,Ultrabook,13.3,N/A,0,1440,900,Intel,"Core i5",1.80,8,"Flash Storage",256,0,Intel," HD Graphics 6000",macos,1.34,61736
8,Asus,Ultrabook,14,"full hd display",0,1920,1080,Intel,"Core i7",1.80,16,SSD,512,0,Nvidia," GeForce MX150",windows,1.30,79654
9,Acer,Ultrabook,14,"ips display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.60,41026
10,HP,Notebook,15.6,N/A,0,1366,768,Intel,"Core i5",2.50,4,HDD,500,0,Intel," HD Graphics 620",N/A,1.86,20987
11,HP,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.00,4,HDD,500,0,Intel," HD Graphics 520",N/A,1.86,18381
12,Apple,Ultrabook,15.4,"ips display",0,2880,1800,Intel,"Core i7",2.80,16,SSD,256,0,AMD," Radeon Pro 555",macos,1.83,130002
13,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.00,4,SSD,256,0,AMD," Radeon R5 M430",windows,2.20,26581
14,Apple,Ultrabook,12,"ips display",0,2304,1440,Intel,"Core M",1.20,8,SSD,256,0,Intel," HD Graphics 615",macos,0.92,67261
15,Apple,Ultrabook,13.3,"ips display",0,2560,1600,Intel,"Core i5",2.30,8,SSD,256,0,Intel," Iris Plus Graphics 640",macos,1.37,80908
16,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.70,8,SSD,256,0,AMD," Radeon R5 M430",windows,2.20,39694
17,Apple,Ultrabook,15.4,"ips display",0,2880,1800,Intel,"Core i7",2.90,16,SSD,512,0,AMD," Radeon Pro 560",macos,1.83,152274
18,Lenovo,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.40,8,HDD,1,0,Nvidia," GeForce 940MX",N/A,2.20,26587
19,Dell,Ultrabook,13.3,"ips display",1,1920,1080,Intel,"Core i5",1.60,8,SSD,128,0,Intel," UHD Graphics 620",windows,1.22,52161
21,Lenovo,Gaming,15.6,"ips display",0,1920,1080,Intel,"Core i5",2.50,8,Hybrid,128,1,Nvidia," GeForce GTX 1050",windows,2.50,53227
22,HP,Notebook,15.6,N/A,0,1366,768,AMD,"E-Series E2-9000e",1.50,4,HDD,500,0,AMD," Radeon R2",N/A,1.86,13746
23,Dell,"2 in 1 Convertible",13.3,"full hd display",1,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.62,43636
24,HP,Ultrabook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,Intel," HD Graphics 620",windows,1.91,35112
25,Dell,Notebook,15.6,N/A,0,1366,768,Intel,"Core i3",2.00,4,HDD,1,0,Intel," HD Graphics 520",windows,2.30,22305
26,Apple,Ultrabook,13.3,N/A,0,1440,900,Intel,"Core i5",1.60,8,"Flash Storage",128,0,Intel," HD Graphics 6000",macos,1.35,58555
27,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,AMD," Radeon 530",windows,2.20,42624
28,Dell,Ultrabook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",1.90,8,SSD,256,256,Intel," UHD Graphics 620",windows,1.88,69157
29,HP,Notebook,17.3,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,HDD,1,0,Nvidia," GeForce 930MX",windows,2.50,47739
30,Chuwi,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Atom x5-Z8300",1.44,4,"Flash Storage",64,0,Intel," HD Graphics",windows,1.89,13053
31,Asus,Notebook,14,N/A,0,1366,768,AMD,"E-Series E2-6110",1.50,2,"Flash Storage",32,0,AMD," Radeon R2",windows,1.65,10603
32,HP,Notebook,17.3,"full hd display",0,1920,1080,AMD,"A6-Series 9220",2.50,4,HDD,500,0,AMD," Radeon 530",windows,2.71,23390
33,Dell,Ultrabook,13.3,"touchscreen display",1,3200,1800,Intel,"Core i7",1.80,16,SSD,512,0,Intel," UHD Graphics 620",windows,1.20,99580
34,Apple,Ultrabook,13.3,N/A,0,1440,900,Intel,"Core i5",1.60,8,"Flash Storage",256,0,Intel," HD Graphics 6000",macos,1.35,53173
35,Lenovo,Notebook,14,N/A,0,1366,768,Intel,"Celeron Dual",1.10,4,"Flash Storage",64,0,Intel," HD Graphics 500",windows,1.44,13267
36,Acer,Notebook,15.6,N/A,0,1366,768,Intel,"Core i3",2.70,4,HDD,1,0,Intel," HD Graphics 620",linux,2.10,19554
37,Dell,Notebook,17.3,"ips display",0,1920,1080,Intel,"Core i5",1.60,8,Hybrid,128,1,AMD," Radeon 530",windows,2.80,52161
38,HP,Notebook,15.6,N/A,0,1366,768,Intel,"Core i5",2.50,4,HDD,1,0,Intel," HD Graphics 620",windows,1.86,26037
39,HP,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Nvidia," GeForce 930MX ",windows,2.10,46833
40,Asus,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.00,4,HDD,1,0,Intel," HD Graphics 620",linux,2.00,20726
41,Dell,Gaming,15.6,"ips display",0,1920,1080,Intel,"Core i7",2.80,16,Hybrid,256,1,Nvidia," GeForce GTX 1060",windows,2.65,79867
42,Asus,Notebook,15.6,N/A,0,1366,768,Intel,"Core i5",2.50,8,HDD,1,0,Nvidia," GeForce 940MX",linux,2.30,27865
43,Acer,Notebook,15.6,"ips display",0,1920,1080,Intel,"Core i5",1.60,4,SSD,256,0,Intel," UHD Graphics 620",windows,2.20,36337
44,Dell,"2 in 1 Convertible",17.3,"full hd display",1,1920,1080,Intel,"Core i5",1.60,12,HDD,1,0,Nvidia," GeForce 150MX",windows,2.77,53227
45,Apple,Ultrabook,13.3,"ips display",0,2560,1600,Intel,"Core i5",2.00,8,SSD,256,0,Intel," Iris Graphics 540",macos,1.37,75604
47,Asus,Gaming,17.3,"full hd display",0,1920,1080,AMD,"Ryzen 1700",3.00,8,Hybrid,256,1,AMD," Radeon RX 580",windows,3.20,69211
48,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,4,SSD,256,0,AMD," Radeon R5 M430",windows,2.30,34046
49,Asus,Notebook,17.3,N/A,0,1366,768,Intel,"Pentium Quad",1.10,4,HDD,1,0,Nvidia," GeForce 920MX",windows,2.80,24828
51,Acer,Notebook,15.6,"ips display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,Nvidia," GeForce MX150",windows,2.20,44808
52,HP,Notebook,15.6,"full hd display",0,1920,1080,AMD,"A6-Series 9220",2.50,4,SSD,256,0,AMD," Radeon R4 Graphics",windows,1.86,21232
53,HP,Notebook,13.3,"full hd display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,512,0,Intel," UHD Graphics 620",windows,1.49,58768
54,Acer,Notebook,15.6,N/A,0,1366,768,Intel,"Core i3",2.40,4,HDD,1,0,Intel," HD Graphics 620",windows,2.40,20460
55,Dell,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",1.80,8,SSD,256,0,AMD," Radeon 520",windows,2.13,40908
56,HP,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.00,4,SSD,128,0,Intel," HD Graphics 520",windows,1.91,23390
57,Asus,Notebook,15.6,N/A,0,1366,768,Intel,"Core i5",2.50,4,SSD,256,0,Intel," HD Graphics 620",windows,2.00,31232
58,MSI,Gaming,17.3,"full hd display",0,1920,1080,Intel,"Core i7",2.80,16,Hybrid,256,2,Nvidia," GeForce GTX 1070",windows,2.43,130483
59,Asus,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i3",2.00,4,SSD,256,0,Intel," HD Graphics 520",linux,2.00,22111
60,Dell,Notebook,17.3,"full hd display",0,1920,1080,Intel,"Core i7",1.80,16,Hybrid,256,2,AMD," Radeon 530",windows,2.80,69211
61,Dell,Ultrabook,14,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.70,46833
62,Lenovo,Notebook,14,"ips display",0,1920,1080,Intel,"Core i3",2.70,8,SSD,256,0,Intel," HD Graphics 620",N/A,1.70,31915
63,Asus,Notebook,14,"full hd display",0,1920,1080,Intel,"Core i5",1.60,8,SSD,256,0,Intel," UHD Graphics 620",windows,1.40,50136
64,HP,Notebook,15.6,"full hd display",0,1920,1080,Intel,"Core i5",2.50,8,SSD,256,0,Intel," HD Graphics 620",windows,1.86,36763
65,Asus,Ultrabook,15.6,"full hd display",0,1920,1080,Intel,"Core i7",2.80,16,SSD,512,0,Nvidia," GeForce GTX 1050 Ti",windows,1.80,105654
66,HP,Notebook,15.6,N/A,0,1366,768,Intel,"Core i3",2.00,4,HDD,500,0,AMD," Radeon 520",windows,1.86,23373
